,Facebook,Twitter,Other social media,Other,Direct,Display,Email,Organic Search,Paid Search,Referral
2021-01-01,10.622189643665962,23.395293371114732,1.415708455958776,0.11049965537236195,26.329551546448148,0.06345524763957419,6.422108683522423,21.748739100467162,0.6301762524205989,9.26227804339026
2021-01-02,10.421210749413557,15.153915799004075,1.3889460471624346,0.07716366928680193,21.132556895345488,0.054528992962673356,24.699576114243385,18.184904728589654,0.5957035268941109,8.291493477097823
2021-01-03,10.478355180537825,28.618281076480784,1.3564986351983892,0.09340847526232213,22.438791501904497,0.05812082905211154,8.74510902844807,18.46270407157165,0.6144201928366078,9.134311008707746
2021-01-04,6.208954536027836,16.84217803073945,1.715556374864622,0.11521533746572345,25.263267046109178,0.0668248957301196,15.753393091688366,23.16173929073438,0.6993570984169413,10.17351429822338
2021-01-05,4.938924181411039,18.48612699541571,1.359910044112983,0.10283418708133513,21.897915445310474,0.059586164477035304,20.54184966987343,19.520235269242967,0.6554478092473882,12.437170233827642
2021-01-06,9.636580788261389,22.328954103395322,1.2182221463914007,0.06824773929363591,25.71830745606552,0.04436103054086333,14.44804640846272,17.19331172154922,0.4794403685377922,8.864528237502132
2021-01-07,6.585745629556232,11.906362799915069,1.4792271215231085,0.10262580508174676,23.05010970344681,0.053967018189539244,25.89797579446528,20.796765517729494,0.5396701818953925,9.587550428197325
2021-01-08,4.777411333867394,17.240087807821556,1.6885319239692462,0.21119653762523538,24.26887504031461,0.05513998272974126,19.122129859861214,21.82606976768381,0.6429530061694358,10.167604739957762
2021-01-09,8.654914637842207,25.387244502811733,1.1676263595649392,0.10607132033538741,19.520490285213995,0.043775465535239255,19.2224803852241,17.949624541199448,0.5572953496986227,7.390477152574334
2021-01-10,11.638515439881397,17.40392047542417,1.5408203347736287,0.08869853900835033,24.801378628720585,0.0532191234050102,12.557178879610738,23.501311471255338,0.6753760184492961,7.739581089471484
2021-01-11,9.828988529718456,19.30448383733055,1.473409801876955,0.08654848800834203,21.606882168925964,0.04692387904066736,17.70802919708029,20.185610010427528,0.6590198123044838,9.100104275286757
2021-01-12,10.154072776494944,17.87562704036946,1.4312445258380444,0.10749263476391432,20.4056851660164,0.04777450433951748,19.721912572657057,19.968747511744567,0.4867027629588343,9.800740504817263
2021-01-13,6.212825553240135,21.351736705785083,1.2773245366112933,0.07255608332138126,20.04572720600022,0.037965392435606475,22.547224729812957,19.41718904234407,0.43280547376591383,8.604645276683344
2021-01-14,7.372898199308343,16.774655165560283,1.2084111778033946,0.06201057359780578,20.43884405930755,0.041340382398537184,24.598322534483444,19.971379735262552,0.4730293755217236,9.05910879675637
2021-01-15,6.4134120182280085,17.565710783586887,1.285054812530273,0.34004527346954916,24.573213526684658,0.04448266658758637,18.530490396686535,20.681474452121822,0.5308264879451974,10.035289582159484
2021-01-16,6.055433186490456,17.228340675477238,1.0664464023494862,0.21292217327459617,25.94713656387665,0.0394640234948605,21.351872246696036,17.43575624082232,0.4955947136563877,10.167033773861968
2021-01-17,7.2949167186674995,13.457015312244996,1.1964191427062834,0.1512024192387078,22.361157778524458,0.04680074881198099,25.232803724859597,21.17553880862094,0.57960927374838,8.50453607257716
2021-01-18,8.648111332007952,20.999457798662572,1.26332911621182,0.08855955178022773,22.68660762696548,0.027110066871498282,18.775528646303993,19.30688595698536,0.42201337429965663,7.782396529911441
2021-01-19,6.564039136868609,14.373743843452525,3.7392053360425823,0.10270115069461315,24.130353159440777,0.03644234379486273,20.924531218941183,22.14590189279325,0.4715418424365572,7.51154007553504
2021-01-20,6.116663713770571,16.588675469771026,1.6425050286083522,0.08650248564371397,21.342143385686445,0.03960354764411002,25.00859813863326,21.60373523986201,0.489833352440308,7.081739637940199
2021-01-21,7.090746583347975,17.48852203540026,1.0870644675828667,0.07180889666394201,23.543387088149238,0.00993101762373666,23.75652200484328,18.804763832761665,0.3307792793136903,7.816474794313347
