,Total sessions,Subscriber sessions,Non-subscriber sessions,% sessions non subscriber
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,109205.33333333333,22467.428571428572,86737.90476190476,79.22886256605724
21,114915.47619047618,23464.571428571428,91450.90476190476,78.58469736730672
22,118047.42857142857,24125.95238095238,93921.47619047618,78.49358171547443
23,118573.71428571429,24669.47619047619,93904.23809523809,78.13904975839827
24,118685.66666666667,25050.714285714286,93634.95238095238,77.77745153189514
25,121647.52380952382,25698.666666666668,95948.85714285714,77.82561362166426
26,126369.09523809524,26316.380952380954,100052.71428571429,78.11348028201772
27,129875.04761904762,27056.571428571428,102818.47619047618,77.9676107720021
28,133171.85714285713,27434.285714285714,105737.57142857143,77.9731957011439
29,139074.04761904763,27769.095238095237,111304.95238095238,78.57686426698058
30,144022.95238095237,28102.380952380954,115920.57142857143,79.08532279646445
31,148323.57142857142,28350.380952380954,119973.19047619047,79.7796484531494
32,151420.7619047619,28747.904761904763,122672.85714285714,79.92267336373126
33,154138.33333333334,29021.238095238095,125117.09523809524,80.17590445347324
34,153123.66666666666,29241.95238095238,123881.71428571429,79.87796528642833
35,151802.14285714287,29497.809523809523,122304.33333333333,79.59385430846343
36,153634.47619047618,30058.85714285714,123575.61904761905,79.50054151557386
37,155191.2857142857,30426.714285714286,124764.57142857143,79.56790783551551
38,155735.33333333334,30647.0,125088.33333333333,79.50702533358785
39,155939.7142857143,30689.238095238095,125250.47619047618,79.51213829837002
40,153357.95238095237,30493.52380952381,122864.42857142857,79.25707327637133
41,151791.47619047618,30462.285714285714,121329.19047619047,78.99301852645898
42,151058.09523809524,30451.428571428572,120606.66666666667,78.88462075901593
43,147235.66666666666,30092.47619047619,117143.19047619047,78.57554147726194
44,144819.33333333334,29751.04761904762,115068.28571428571,78.24022753242222
45,144090.0,29671.619047619046,114418.38095238095,78.08302407771748
46,142062.80952380953,29659.380952380954,112403.42857142857,77.69568565101608
47,138349.7619047619,29646.904761904763,108702.85714285714,77.03720318237863
48,133725.7142857143,29499.47619047619,104226.23809523809,76.48485209234575
49,127945.04761904762,29414.809523809523,98530.23809523809,75.62433354241034
50,122279.95238095238,29381.47619047619,92898.47619047618,74.77426169587082
51,119699.19047619047,29342.238095238095,90356.95238095238,74.50719493041234
52,119424.52380952382,29249.380952380954,90175.14285714286,74.53380018920384
53,116586.61904761905,29050.47619047619,87536.14285714286,74.29276422697426
54,113303.90476190476,28940.809523809523,84363.09523809524,73.69789975806111
55,111745.09523809524,28909.04761904762,82836.04761904762,73.36834562293099
56,108191.23809523809,28737.380952380954,79453.85714285714,72.72120962800557
