date,Overseas,UK
2021-04-01,22,162
2021-04-02,25,187
2021-04-03,18,144
2021-04-04,16,141
2021-04-05,25,145
2021-04-06,18,119
2021-04-07,20,123
2021-04-08,27,183
2021-04-09,19,150
2021-04-10,14,143
2021-04-11,21,146
2021-04-12,13,77
2021-04-13,18,138
2021-04-14,19,130
2021-04-15,25,120
2021-04-16,20,112
2021-04-17,18,98
2021-04-18,24,63
2021-04-19,18,87
2021-04-20,23,84
2021-04-21,24,130
2021-04-22,39,108
2021-04-23,21,128
2021-04-24,25,103
2021-04-25,14,85
2021-04-26,74,411
2021-04-27,54,241
2021-04-28,84,412
2021-04-29,111,317
2021-04-30,102,393
2021-05-01,108,308
2021-05-02,117,379
2021-05-03,66,242
2021-05-04,31,90
2021-05-05,23,77
2021-05-06,36,131
2021-05-07,26,111
2021-05-08,21,104
2021-05-09,15,84
2021-05-10,17,88
2021-05-11,17,82
2021-05-12,21,92
2021-05-13,35,98
2021-05-14,18,95
2021-05-15,19,114
2021-05-16,20,88
2021-05-17,20,61
2021-05-18,17,81
2021-05-19,19,74
2021-05-20,45,1099
2021-05-21,42,432
2021-05-22,26,142
2021-05-23,32,136
2021-05-24,20,139
2021-05-25,38,255
2021-05-26,23,111
2021-05-27,35,121
2021-05-28,38,167
2021-05-29,30,111
2021-05-30,16,110
2021-05-31,18,101
2021-06-01,17,78
2021-06-02,29,107
2021-06-03,34,92
2021-06-04,43,223
2021-06-05,22,92
2021-06-06,20,77
2021-06-07,24,93
2021-06-08,14,82
2021-06-09,32,152
2021-06-10,22,127
2021-06-11,28,121
2021-06-12,17,137
2021-06-13,21,66
2021-06-14,23,101
2021-06-15,22,96
2021-06-16,19,121
2021-06-17,41,168
2021-06-18,16,106
2021-06-19,25,73
2021-06-20,19,65
2021-06-21,28,104
